Date,aapl,csco,ibm,msft
2000-01-03,111.937502,108.0625,116.0,116.5625
2000-01-04,102.500003,102.0,112.0625,112.625
2000-01-05,103.999997,101.6875,116.0,113.8125
2000-01-06,94.999998,100.0,114.0,110.0
2000-01-07,99.500001,105.875,113.5,111.4375
2000-01-10,97.750001,109.8125,118.0,112.25
2000-01-11,92.75,106.5,119.0,109.375
2000-01-12,87.187503,103.8125,119.5,105.8125
2000-01-13,96.749998,106.1875,118.25,107.8125
2000-01-14,100.437499,107.5625,119.625,112.25
2000-01-18,103.937499,112.0,115.75,115.3125
2000-01-19,106.562499,112.3125,119.5,107.0
2000-01-20,113.499994,112.375,119.0,106.0
2000-01-21,111.312501,115.25,121.5,103.75
2000-01-24,106.250002,109.0625,121.5,101.25
2000-01-25,112.250006,112.125,119.125,102.8125
2000-01-26,110.187502,107.1875,116.75,99.375
2000-01-27,110.000001,106.625,113.5,98.75
2000-01-28,101.625003,103.875,111.5625,98.25
2000-01-31,103.749998,109.5,112.25,97.875
2000-02-01,100.249998,117.8125,110.0,102.9375
2000-02-02,98.812502,113.875,113.5,100.8125
2000-02-03,103.312498,117.8125,117.125,103.625
2000-02-04,108.000002,121.125,115.625,106.5625
2000-02-07,114.062504,125.1875,114.125,106.625
2000-02-08,114.875006,125.8125,118.8125,109.9375
2000-02-09,112.624994,128.8125,117.375,104.0
2000-02-10,113.499994,135.9375,119.125,106.0
2000-02-11,108.749999,130.9375,115.375,99.9375
2000-02-14,115.812504,130.5,116.0625,99.625
2000-02-15,119.0,128.0,117.125,98.5625
2000-02-16,114.125002,127.171883,115.75,97.625
2000-02-17,114.875006,130.5,116.75,99.625
2000-02-18,111.250003,125.8125,112.5,95.0625
2000-02-22,113.812498,123.9375,111.0,93.8125
2000-02-23,116.250004,138.625,108.75,94.25
2000-02-24,115.203104,137.25,110.5,94.75
2000-02-25,110.375003,132.75,108.0,91.3125
2000-02-28,113.250002,130.5625,104.5,91.5625
2000-02-29,114.625,132.1875,102.75,89.375
2000-03-01,130.312502,131.6875,100.25,90.8125
2000-03-02,122.000002,132.75,103.125,93.375
2000-03-03,128.000006,137.4375,108.0,96.125
2000-03-06,125.687496,136.125,103.0625,90.625
2000-03-07,122.875002,132.0625,103.0,92.875
2000-03-08,122.000002,132.375,106.25,95.5625
2000-03-09,122.249994,139.3125,108.0,100.0
2000-03-10,125.749994,136.375,105.25,101.0
2000-03-13,121.312496,136.1875,107.6875,98.0
2000-03-14,114.249998,131.75,108.625,95.125
2000-03-15,116.250004,128.625,107.0,95.375
2000-03-16,121.562502,131.671875,109.0,95.375
2000-03-17,125.000004,135.0,110.0,99.375
2000-03-20,122.999998,134.125,112.75,97.375
2000-03-21,134.937494,140.859375,113.5,102.75
2000-03-22,144.187506,144.375,114.25,103.25
2000-03-23,141.3125,77.8125,115.25,111.875
2000-03-24,138.6875,79.375,120.625,111.6875
2000-03-27,139.5625,80.0625,126.875,104.0625
2000-03-28,139.125,77.875,122.5,104.3125
2000-03-29,135.937504,76.0625,119.0,107.1875
2000-03-30,125.749994,73.625,122.75,103.375
2000-03-31,135.812494,77.3125,118.375,106.25
2000-04-03,133.312504,72.9375,122.0,90.875
2000-04-04,127.3125,73.125,121.1875,88.5625
2000-04-05,130.375,72.125,125.0,86.375
2000-04-06,125.187498,71.8125,122.75,86.0
2000-04-07,131.749998,74.9375,123.125,89.0625
2000-04-10,125.000004,72.5625,122.125,86.0625
2000-04-11,119.4375,70.0,119.375,83.875
2000-04-12,109.249997,65.0,113.75,79.375
2000-04-13,113.812498,61.125,110.625,79.25
2000-04-14,111.874997,57.0,105.0,74.125
2000-04-17,123.874998,66.5,111.875,75.875
